gloss,gorum,sora,remo,gutob,kharia,juang,gtaq,santali,mundari,ho,korwa,korku,set
buy/sell(vt)_3,ŋ,x,ŋ,ŋ,ŋ,ŋ,0,x,x,x,x,x,ŋ1
sweet_1,x,x,s,s,s,x,x,s,s,s,x,s,s1o2
sweet_2,x,x,u,u,e,x,x,e,i,i,x,i,
sweet_3,x,x,b,b,b,x,x,b,b,b,x,m,b1-5
sweet_4,x,x,u,u,o,x,x,e,i,i,x,i,
sweet_5,x,x,0,l,l,x,x,l,l,l,x,l,l1
kindle(v)_1,t,t,x,x,t,x,t,t,t,t,x,ʈ,t1-1a
kindle(v)_2,u,u,x,x,u,x,o,i,i,i,x,i,
kindle(v)_3,ŋ,ŋ,x,x,ŋg,x,ŋ,ŋg,ŋ,ɲ,x,ng,ŋ1-1
stomach_1,x,(l),l,l,l,x,l,l,l,l,l,l,l1
stomach_2,x,(o:),o,o,a(i),x,we,a,a:,a:,a:,a:,
stomach_3,x,(ˀɟ),ĭ,j,ˀj,x,ʔ,c',iˀ,iʔ,i:ʔ,j,ˀɟ1b
big_1,x,m,m,x,x,x,m,m,m,m,x,x,m1
big_2,x,a/ə,u,x,x,x,0,a,a,a,x,x,
big_3,x,r,n,x,x,x,n,r,r,r,x,x,r1-2
big_4,x,a,a,x,x,x,a,a,a,a,x,x,a1
big_5,x,ŋ,ʔ,x,x,x,ʔ,ŋ,ŋ,ŋ,x,x,ŋ2
white_1,a,x,x,x,o,x,x,e̠,e,e,x,x,
white_2,s,x,x,x,s,x,x,s,s,s,x,x,s2
white_3,e,x,x,x,e,x,x,e̠,e,e,x,x,
white_4,l,x,x,x,l,x,x,l,l,l,x,x,l1
lungs_1,b,b,b,x,x,x,b,b,x,x,b,,b1
lungs_2,u,ə,u,x,x,x,0,o̠,x,x,o,,
lungs_3,r,r,r,x,x,x,r,r,x,x,r,,r1
lungs_4,o,o:,u,x,x,x,e,o̠,x,x,o,,
lungs_5,ˀb,0,k',x,x,x,ʔ,0,x,x,0,,
liquor_1,a,ə/a,i,i,x,x,x,x,i,i,x,x,
liquor_2,l,l,l,l,x,x,x,x,l,l,x,x,l1
liquor_3,i,i,i,i,x,x,x,x,i,i,x,x,i1
husked_rice_1,r,r,r,r,r,r,r,x,x,x,x,x,r1
husked_rice_2,u,ʊ,u,u,u,u,0,x,x,x,x,x,u1
husked_rice_3,ŋ,ŋ,ŋ,0,ŋ/m,ŋ,0,x,x,x,x,x,
husked_rice_4,k,k,k,k,k,k,k,x,x,x,x,x,k1-2
husked_rice_5,0,ʊ,u,u,u,u,o,x,x,x,x,x,u1
husked_rice_5,0,0,0,g,ˀb,b,ʔ,x,x,x,x,x,b2-2
meat_1,x,ɟ,s,s,―,x,c,j,j,j,x,j,ɟ1
meat_2,x,e,i/e,e,x,x,i,e,i,i,x,i,
meat_3,x,l,l,l,―,x,l,l,l,l,x,l,l1
meat_4,x,u:,i,i,x,x,i,0,u,u,x,u,
mango(ripe)_1,x,0,0,x,x,x,0,0,0,0,0,x,
mango(ripe)_2,x,u:,u,x,x,x,u,u,u,u,u:,x,u1
mango(ripe)_3,x,l,l,x,x,x,l,l,l,l,l,x,l1
mango(ripe)_4,x,0,i,x,x,x,i,0,i,i,0,x,
fly_1,r,r,x,r,x,x,r,r,r,r,x,r,r1
fly_2,o,o:,x,o,x,x,oe,o̠,o,o,x,u,
fly_3,j,j,x,j,x,x,0,0,0,0,x,0,j1
turmeric_1,s,s,s,s,s,s,s,s,s,s,x,s,s2
turmeric_2,a,a,a,a,a,a,ia,a,a,a,x,a,a2
turmeric_3,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,0,ŋ,ŋ,ŋ,x,n,ŋ1-6
ear_1,l,l,l,l,l,l,l,l,l,l,l,l,l1
ear_2,u,u,u,i,u,u,u,u,u,u,u,u,
ear_3,ˀd,ˀd,t,t,t,t,g,t,t,t,t,t,t2
ear_4,0,0,u,i,u,u,0,u,u,u,u,u,
ear_5,0,0,r,r,r,r/ʔ,0,r,r,r,r,r,r1-3
nose_1,m,m,m,m,m,m,m,m,m,m,x,m,m1
nose_2,u,u,i,i,o,o,u,u,u,u,x,u:,
nose_3,ʔ,ʔ,ʔ,ʔ,ŋ/ˀɖ,t,0,0,0/h,w/ʈ,x,0,ˀx1
sun_1,x,x,s,s,s,s,s,s,s,s,s,x,s1o2
sun_2,x,x,i,i,i,i,i,i,i,i,i:,x,i1
sun_3,x,x,ŋ,N,ŋ,ŋ,0,ɲ,ŋ,ŋ,ŋ,x,ŋ1-5
sun_4,x,x,i,0,0,0,0,0,i,i,0,x,
