"gloss","","gorum","sora","remo","gutob","kharia","juang","gtaq","santali","mundari","ho","korwa","korku","set_v2","pm_v2","set_v1","pm_v1","cv"
"ripe_2","#0018-2","x","x","u","u","e","i","0","e","i","i","i:","i","","","V1-u:e:i","V1-u:e:i","V"
"ripe_3","#0018-3","x","x","l","l","l","l","l","l","l","l","l","l","","","l1","l","C"
"ripe_4","#0018-4","x","x","u","u","o","i","e","e","i","i","i:","i","","","V2-u:e:i","V2-u:e:i","V"
"raw_1","#0019-1","x","x","b","b","b","b","b","b","b","b","b","b","","","b1","b","C"
"raw_2","#0019-2","x","x","u","u","o","o","0","e̠","e","e","e","o","","","u:o:e1","u:o:e1","V"
"raw_3","#0019-3","x","x","r","r","r","r","r","r","r","r","r","ɽ","","","r1a","r1a","C"
"raw_4","#0019-4","x","x","o","o","o","o","wa","e̠","e","e","e","x","","","ao3","ao3","V"
"raw_5","#0019-5","x","x","0","l","l","n","0","l","l","l","l","x","","","l2-1","l2-1","C"
"stone_1","#0020-1","0","0","x","x","s","x","x","x","s","s","x","x","","","s1","s","C"
"stone_2","#0020-2","a","a","x","x","o","x","x","x","e","e","x","x","","","a:o/N:e-1","a:o/N:e-1","V"
"stone_3","#0020-3","r","r","x","x","r","x","x","x","r","r","x","x","","","r1","r","C"
"stone_4","#0020-4","e","e","x","x","e","x","x","x","e","e","x","x","","","e1-1a","e1-1a","V"
"stone_5","#0020-5","ŋ","ŋ","x","x","ŋ","x","x","x","ŋ","ɲ","x","x","","","ŋ1-1","ŋ1-1","C"
"fuel_1","#0021-1","0","0","s","s","s","s","s","s","s","s","s","x","","","s1","s","C"
"fuel_2","#0021-2","a","a","u","u","o","ɛ","u","e̠","e","e","e","x","","","gs:a/rg:u/kh:o/gt:u/N:e","gs:a/rg:u/kh:o/gt:u/N:e","V"
"fuel_3","#0021-3","ŋ","ŋ","ŋ","N","ŋg","ŋ","0","ŋg","ŋg","ŋg","Ng","x","","","ŋ1-2","ŋ","C"
"fuel_4","#0021-4","a","ə","o","o","o","o","a","e̠","e","e","e","x","","","a:ə/rgkj:o/N:e","a:ə/rgkj:o/N:e","V"
"fuel_5","#0021-5","l","l","0","l","l","n","0","l","l","l","l","x","","","l2-1","l2-1","C"
"spread(vt)_1","#0022-1","b","b","b","b","b","b","b","b","b","b","b","b","","","b1","b","C"
"spread(vt)_2","#0022-2","i","e/ɪ:","e","e","e","ɛ","e","e","i","i","e","i","","","e(e:i)-3b","e(e:i)-3b","V"
"spread(vt)_3","#0022-3","l","l","0","(d)","l","n","ʔ","l","l","l","l","l","","","l2-3","l2-3","C"
"burn(v)_1","#0023-1","b","b","x","b","x","x","b","b","b","b","b","b","","","b1","b","C"
"burn(v)_2","#0023-2","a","a:","x","a","x","x","a","a","a","a","a:","a:","","","a1","a","V"
"burn(v)_3","#0023-3","l","l","x","l","x","x","0","l","l","l","l","l","","","l1","l","C"
"tie(v)_1","#0024-1","t","t","t","t","t","t","t","t","t","t","t","ʈ","","","t1-1a","t","C"
"tie(v)_2","#0024-2","o","o","u","o","o","o","u","o̠","o","o","o","o","","","o1(re:u/gt:u)","o","V"
"tie(v)_3","#0024-3","l","l","0","l","l","r","0","l","l","l","l","l","","","l2-2","l2-2","C"
"grind(v)_1","#0025-1","r","r","r","r","r","r","r","r","r","r","r","x","","","r1","r","C"
"grind(v)_2","#0025-2","i","i","i","i","i","i","i","i","i","i","i:","x","","","i1","i","V"
"grind(v)_3","#0025-3","ˀd","d","ʔ","ɽ","ɖ","ɖ","g","t'","'d","ɖ","ɖ","x","","","ˀt1-1","ˀt","C"
"fever/pain_1","#0026-1","a","a/ə","0","i","o/u","a","a","a","a:","a","a","a","","","a4","a4","V"
"fever/pain_2","#0026-2","s","s","s","s","s","s","s","s","s","s","s","S","","","s2","s","C"
"fever/pain_3","#0026-3","u","u:","i","i","u","u","u","o","u","u","u:","u","","","u2c","u2c","V"
"shoot(v)_1","#0027-1","t","t","t","t","t","t","ʈ","t","t","t","x","ʈ","","","t1-1b","t","C"
"shoot(v)_2","#0027-2","i","u","i","i","u","u","wi","u","ui","u","","u","","","u3","u3","V"
"shoot(v)_3","#0027-3","ŋ","ɲ","ŋ","ŋ","ɲ","ɲ","ŋ","ɲ","ŋ","ŋ","","ɲj","","","ɲ2","ɲ2","C"
"chicken_1","#0028-1","x","s","s","s","s","s","s","s","s","s","s","x","","","s2","s","C"
"chicken_2","#0028-2","x","i:","i","i","i","ɛ","æ","i","i","i","i:","x","","","i2","i2","V"
"chicken_3","#0028-3","x","m","ŋ","ŋ","ŋ","ŋ","ŋ","m","m","m","m","x","","","m3","m3","C"
"wipe(v)_1","#0029-1","z","ɟ","s","s","j","x","c","j","j","j","j","j","","","ɟ1","ɟ","C"
"wipe(v)_2","#0029-2","o","o","u","o","o","x","u","o̠","o","o","o","o","","","o1(re:u/gt:u)","o","V"
"wipe(v)_3","#0029-3","ˀd","ˀd","ʔ","d","ˀɖ","x","ʔ","t'","d'","ɖ","ɖ","0","","","ˀt1-1a","ˀt","C"
"fruit/to-bear-fruit(v)_1","#0030-1","z","ɟ","s","x","x","x","c","j","j","j","j","j","","","ɟ1","ɟ","C"
"fruit/to-bear-fruit(v)_2","#0030-2","o","o:","u","x","x","x","u","o̠","o","o:","o","o:","","","o1(re:u/gt:u)","o","V"
"fruit/to-bear-fruit(v)_3","#0030-3","ʔ","ʔ","ʔ","x","x","x","0","0","0","0","ʔ","0","","","ˀ0","ˀ0","C"
"sweep(v)_1","#0031-1","z","ɟ","s","s","j","ɟ","c","j","j","j","x","j","","","ɟ1","ɟ","C"
"sweep(v)_2","#0031-2","o","o:","u","o","o","ɔ","o","o̠","o","o","x","u","","","o4a(re:u/ko:u)","o4a(re:u/ko:u)","V"
"sweep(v)_3","#0031-3","ʔ","0","k'","g","ʔ","g","ʔ","k'","ʔ","ʔ","x","0","","","ˀk1","ˀk","C"
"hail/pebble_1","#0032-1","a","a","a","a","a","a","a","a","a:","a","a","x","","","a1","a","V"
"hail/pebble_2","#0032-2","r","r","r","r","r","ɭ","r","r","ɽ","r","r","x","","","r1-1","r1-1","C"
"hail/pebble_3","#0032-3","i","e:","e","e","e","ɛ","e","e","i","i","i","x","","","e(e:i)-3a","e(e:i)-3a","V"
"hail/pebble_4","#0032-4","l","l","0","l","l","n","0","l","l","l","l","x","","","l2-1","l2-1","C"
"night_1","#0033-1","ɖ","r","ɖ","d","ɖ","x","ɖ","y","y","y","y","y","","","dy","dy","C"
"night_2","#0033-2","u","u","i","i","i","x","i","u","u","u","u","u","","","u2","u2","V"
"night_3","#0033-3","ˀb","b","p'","b","ˀb","x","g","p'","b","b","b","p","","","b2-1","ˀp","C"
"cloud_1","#0034-1","t","t","t","t","t","x","t","x","x","x","x","x","","","t1","t","C"
"cloud_2","#0034-2","a","a","i","i","i","x","0","x","x","x","x","x","","","i4(go:a/so:a)","i4(go:a/so:a)","V"
"cloud_3","#0034-3","r","r","r","r","r","x","r","x","x","x","x","x","","","r1","r","C"
"cloud_4","#0034-4","u","u","i","i","i","x","i","x","x","x","x","x","","","u2","u2","V"
"cloud_5","#0034-5","ˀb","b","b","b","ˀb","x","g","x","x","x","x","x","","","b2-1","ˀp","C"
"leaf_1","#0035-1","o","o:","u","o","u","o","u","a","a:","a","x","a:","","","o:u:a","o:u:a","V"
"leaf_2","#0035-2","l","l","l","l","l","l","l","lh","lh","l","x","l","","","l1-1","l1-1","C"
"leaf_3","#0035-3","a","a:","a","a","a","a","ia","a","a:","a","x","a","","","a2","a","V"
